NMML #,FAMILY,GENUS,SPECIES,SUBSPECIES,COLLECTION DATE,COUNTRY,STATE,ISLAND GRP,LOCATION,OCEAN,SEA,OTHER,LAT,N/S,LONG,E/W,COLLECTOR 1,Other COLLECTORS,COLLECTOR #,SOURCE,DATE Cataloged,SEX,AGE,TLength Fld,TLength Lab,WEIGHT (Kg),SpecimenType,OCCUR,SpecimenCondition,SpecimenDisposition,SpecimenLocation,Availability,AdditionalDATA,DATALOC1,DATALOC2,REMARKS
NMML1088,Phocoenidae,Phocoenoides,dalli,dalli,24-Jul-82,,,,,North Pacific,Bering Sea,,565500,N,1782400,W,Kumagai,,JAS 012,Dall's Porpoise Task,26-Sep-83,M,,194,,,,5,1,,Museum,,y,spec files,,
NMML1089,Phocoenidae,Phocoenoides,dalli,dalli,23-Jul-82,,,,,North Pacific,Bering Sea,,572700,N,1784300,W,Kumagai,,JAS 008,Dall's Porpoise Task,26-Sep-83,F,,203,,,,5,1,,Museum,,y,spec files,,
NMML1090,Phocoenidae,Phocoenoides,dalli,dalli,14-Jun-82,USA,Alaska,,,North Pacific,Bering Sea,,492700,N,1742000,E,"Mallonee, J.S.",,JSM 006,Dall's Porpoise Task,26-Sep-83,M,,185,,,,5,1,,Museum,,y,spec/photo files,,
NMML1091,Phocidae,Monachus,schauinslandi,,3-Jun-69,USA,Hawaii,NW Hawaiian Islands,Laysan Island,Pacific,,,,,,,"Olson, D.L.",,,"Kreidler, E. donor",3-Jan-84,U,,,,,,2,4,,Museum,,n,,,
NMML1092,Phocidae,Monachus,schauinslandi,,23-Mar-69,USA,Hawaii,NW Hawaiian Islands,Laysan Island,Pacific,,,,,,,"Kriedler, E.","Kenyon, K.",,"Kenyon, K.W.",3-Jan-84,F,,,,,G,4,5,,Museum,,n,,,
NMML1093,Phocidae,Monachus,schauinslandi,,1971,USA,Hawaii,NW Hawaiian Islands,Pearl & Hermes Reef,Pacific,,,,,,,"Kriedler, E.",,,"Kriedler, E.",3-Jan-84,U,,,,,,4,5,,Museum,,n,,,
NMML1094,Otariidae,Otaria,flavescens,,28-May-83,Brazil,Rio Grande do Sul,,Cassino Beach,Atlantic,,,,,,,"Barros, N.",,486,"Borros, N.*",3-Jan-84,M,,227,,,,4,5,,Museum,,y,species files,,"Marine Mammal Lab., Dept. Oceanography Fundanca Universide do Rio Grande, 96200 Rio Grande, RS Brazil"
NMML1095,Phocoenidae,Phocoena,phocoena,phocoena,12-Jun-84,USA,Washington,,Ocean Park Beach*,North Pacific,,,,,,,"Ferrero, R.C.",,RCF 109,Dall's Porpoise Task,27-Jul-84,M,,150,,,G,2,5,,Museum,,y,spec/photo files,,"Ocean Park Beach, 1.5 miles North"
NMML1096,Phocoenidae,Phocoenoides,dalli,dalli,27-Jun-83,,,,,North Pacific,Bering Sea,,574300,N,1790400,E,"Yoshida, M.",,MY 3011,Dall's Porpoise Task,27-Jul-84,F,,186,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1097,Phocoenidae,Phocoenoides,dalli,dalli,1-Jul-83,,,,,North Pacific,Bering Sea,,565500,N,1793000,E,"Yoshida, M.",,MY 3029,Dall's Porpoise Task,27-Jul-84,M,,197,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1098,Phocoenidae,Phocoenoides,dalli,dalli,1-Jul-83,,,,,North Pacific,Bering Sea,,562000,N,1783000,E,"Yoshida, M.",,MY 3031,Dall's Porpoise Task,27-Jul-84,M,,183,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1099,Phocoenidae,Phocoenoides,dalli,dalli,1-Jul-83,,,,,North Pacific,Bering Sea,,561500,N,1795700,E,"Yoshida, M.",,MY 3030,Dall's Porpoise Task,27-Jul-84,F,,196,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1100,Phocoenidae,Phocoenoides,dalli,dalli,27-Jun-83,,,,,North Pacific,Bering Sea,,573300,N,1790400,E,"Yoshida, M.",,MY 3008,Dall's Porpoise Task,27-Jul-84,F,,191,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1101,Phocoenidae,Phocoenoides,dalli,dalli,22-Jun-83,,,,,North Pacific,,,542400,N,1714000,E,"DeGange, A.R.",,ARD 165,Dall's Porpoise Task,27-Jul-84,F,,185,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1102,Phocoenidae,Phocoenoides,dalli,dalli,1-Jul-83,,,,,North Pacific,Bering Sea,,581000,N,1793500,E,"Harada, N.",,NH3 021,Dall's Porpoise Task,27-Jul-84,M,,199,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1103,Phocoenidae,Phocoenoides,dalli,dalli,3-Jun-83,,,,,North Pacific,,,472900,N,1724900,E,"Hamada, S.",,SH  308,Dall's Porpoise Task,27-Jul-84,F,,182,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1104,Phocoenidae,Phocoenoides,dalli,dalli,9-Jul-83,,,,,North Pacific,Bering Sea,,564500,N,1772200,W,"Hamada, S.",,SH  329,Dall's Porpoise Task,30-Jul-84,M,,182,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1105,Phocoenidae,Phocoenoides,dalli,dalli,30-Jun-83,,,,,North Pacific,Bering Sea,,581900,N,1785200,W,"Takeuchi, S.",,ST3 033,Dall's Porpoise Task,30-Jul-84,M,,210,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1106,Phocoenidae,Phocoenoides,dalli,dalli,28-Jun-83,,,,,North Pacific,Bering Sea,,562500,N,1785500,W,"Harada, N.",,NH3 004,Dall's Porpoise Task,30-Jul-84,M,,188,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1107,Phocoenidae,Phocoenoides,dalli,dalli,29-Jun-83,,,,,North Pacific,Bering Sea,,563500,N,1780800,W,"Harada, N.",,NH3 010,Dall's Porpoise Task,30-Jul-84,M,,192,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1108,Phocoenidae,Phocoenoides,dalli,dalli,2-Jul-83,,,,,North Pacific,Bering Sea,,583500,N,1783600,E,"Harada, N.",,NH3 029,Dall's Porpoise Task,30-Jul-84,M,,208,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1109,Phocoenidae,Phocoenoides,dalli,dalli,30-Jun-83,,,,,North Pacific,Bering Sea,,580600,N,1785200,W,"Takeuchi, S.",,ST3 031,Dall's Porpoise Task,30-Jul-84,M,,204,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1110,Phocoenidae,Phocoenoides,dalli,dalli,3-Jul-83,,,,,North Pacific,Bering Sea,,583500,N,1792800,W,"Takeuchi, S.",,ST3 054,Dall's Porpoise Task,30-Jul-84,M,,188,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1111,Phocoenidae,Phocoenoides,dalli,dalli,3-Nov-83,USA,Washington,,Off Norma Beach*,North Pacific,,Browns Bay,,,,,"Munson, M.J.",,MJM 002,Dall's Porpoise Task,3-Aug-84,M,,200,,,B,5,1,,Museum,,y,spec/photo files,,"South side, Browns Bay off Norma Beach"
NMML1112,Phocoenidae,Phocoenoides,dalli,dalli,20-Jun-83,,,,,North Pacific,,,494500,N,1733100,E,"Troutman, B.L.",,BLT 062,Dall's Porpoise Task,10-Aug-84,M,,186,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1113,Phocoenidae,Phocoenoides,dalli,dalli,20-Jun-83,,,,,North Pacific,,,493000,N,1742500,E,"Troutman, B.L.",,BLT 063,Dall's Porpoise Task,10-Aug-84,F,,187,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1114,Phocoenidae,Phocoenoides,dalli,dalli,21-Jun-83,,,,,North Pacific,,,502200,N,1732800,E,"Troutman, B.L.",,BLT 078,Dall's Porpoise Task,10-Aug-84,F,,181,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1115,Phocoenidae,Phocoenoides,dalli,dalli,28-Jun-83,,,,,North Pacific,Bering Sea,,582000,N,1793000,W,"Takeuchi, S.",,ST3 007,Dall's Porpoise Task,10-Aug-84,F,,196,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1116,Phocoenidae,Phocoenoides,dalli,dalli,21-Jun-83,,,,,North Pacific,,,520500,N,1701500,E,"Tsunoda, L.M.",,LMT 227,Dall's Porpoise Task,10-Aug-84,F,,180,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1117,Phocoenidae,Phocoenoides,dalli,dalli,16-Jul-83,,,,,North Pacific,Bering Sea,,560500,N,1765200,E,"Hamada, S.",,SH  336,Dall's Porpoise Task,10-Aug-84,F,,199,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1118,Ziphiidae,Ziphius,cavirostris,,17-May-93,Canada,British Columbia,Vancouver Island,Gregoire Point,North Pacific,,,,,,,"Guenther, T.J.",,SWDP93-18,Marine Mamm. Res.Gr.,23-Jan-95,F,Adult,590,,,GE,2,5,,Loan*,,y,"Victoria, B.C.",,"PERMANENT LOAN (NMML Loan Invoice #41) This speicmen stranded in B.C. and was brought to Friday Harbour, WA where it was identified as a Ziphius, then returned to B.C. on permanent loan where it will be on display at the Sidney Museum. Collected skull, left scapula and part of left pect. flipper, muscle in DMSO, skin, blubber and kidney. (NMML1118 was initially cataloged as a Phocoenoides dalli, but that specimen was recatalogued as NMML1166)                                                                              "
NMML1119,Phocoenidae,Phocoenoides,dalli,dalli,28-Jun-83,,,,,North Pacific,Bering Sea,,564500,N,1792200,W,"Harada, N.",,NH3 005,Dall's Porpoise Task,6-Nov-84,F,,180,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1120,Phocoenidae,Phocoenoides,dalli,dalli,13-Jul-83,,,,,North Pacific,,,520400,N,1722800,E,"Troutman, B.L.",,BLT 111,Dall's Porpoise Task,6-Nov-84,M,,180,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1121,Phocoenidae,Phocoenoides,dalli,dalli,24-Jun-83,,,,,North Pacific,,,541500,N,1723100,E,"Cipriano, F.W.",,FWC 047,Dall's Porpoise Task,6-Nov-84,M,,215,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1122,Phocoenidae,Phocoenoides,dalli,dalli,11-Jun-83,,,,,North Pacific,,,501800,N,1713300,E,"Troutman, B.L.",,BLT 046,Dall's Porpoise Task,6-Nov-84,F,,180,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1123,Phocoenidae,Phocoenoides,dalli,dalli,27-Jun-83,,,,,North Pacific,,,575500,N,1773300,E,"Takeuchi, S.",,ST3 002,Dall's Porpoise Task,6-Nov-84,F,,187,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1124,Phocoenidae,Phocoenoides,dalli,dalli,5-Jun-83,,,,,North Pacific,,,464500,N,1735600,E,"DeGange, A.R.",,ARD 171,Dall's Porpoise Task,6-Nov-84,M,,189,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1125,Phocoenidae,Phocoenoides,dalli,dalli,7-Jun-83,,,,,North Pacific,,,464000,N,1741900,E,"Brooks, R.R.",,RRB 084,Dall's Porpoise Task,6-Nov-84,M,,180,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1126,Phocoenidae,Phocoenoides,dalli,dalli,30-Jun-83,,,,,North Pacific,,,573000,N,1780200,W,"Harada, N.",,NH3 018,Dall's Porpoise Task,6-Nov-84,F,,189,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1127,Phocoenidae,Phocoenoides,dalli,dalli,27-Jun-83,,,,,North Pacific,,,563000,N,1764400,E,"Harada, N.",,NH3 003,Dall's Porpoise Task,6-Nov-84,M,,210,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1128,Phocoenidae,Phocoenoides,dalli,dalli,19-Jun-82,,,,,North Pacific,,,502800,N,1700900,E,"Brooks, R.R.",,RRB 006,Dall's Porpoise Task,6-Nov-84,F,,191,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1129,Phocoenidae,Phocoenoides,dalli,dalli,19-Jun-83,,,,,North Pacific,,,494700,N,1744200,E,"Troutman, B.L.",,BLT 060,Dall's Porpoise Task,6-Nov-84,M,,199,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1130,Phocoenidae,Phocoenoides,dalli,dalli,24-Jun-83,,,,,North Pacific,,,550500,N,1731200,E,"DeGange, A.R.",,ARD 190,Dall's Porpoise Task,6-Nov-84,F,,188,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1131,Phocoenidae,Phocoenoides,dalli,dalli,29-Jun-83,,,,,North Pacific,,,581500,N,1783000,W,"Takeuchi, S.",,ST3 015,Dall's Porpoise Task,6-Nov-84,F,,182,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1132,Phocoenidae,Phocoenoides,dalli,dalli,20-Jun-82,,,,,North Pacific,,,503600,N,1705600,E,"Silber, G.K.",,GKS 015,Dall's Porpoise Task,6-Nov-84,M,,186,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1133,Phocoenidae,Phocoenoides,dalli,dalli,19-Jun-78,,,,,North Pacific,,,501200,N,1742000,E,"Long, B.K.",,BKL 096,Dall's Porpoise Task,6-Nov-84,F,,187,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1134,Phocoenidae,Phocoenoides,dalli,dalli,19-Jun-82,,,,,North Pacific,,,505100,N,1693300,E,"Silber, G.K.",,GKS 007,Dall's Porpoise Task,6-Nov-84,M,,186,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1135,Phocoenidae,Phocoenoides,dalli,dalli,20-Jun-78,,,,,North Pacific,,,522000,N,1743200,E,"Long, B.K.",,BKL 102,Dall's Porpoise Task,6-Nov-84,M,,180,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1136,Phocoenidae,Phocoenoides,dalli,dalli,22-Jun-83,,,,,North Pacific,,,532800,N,1702000,E,"Letourneau, M.W.",,MWL 140,Dall's Porpoise Task,6-Nov-84,M,,145,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1137,Phocoenidae,Phocoenoides,dalli,dalli,22-Jun-83,,,,,North Pacific,,,534400,N,1705000,e,"Letourneau, M.W.",,MWL 139,Dall's Porpoise Task,6-Nov-84,M,,168,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1138,Delphinidae,Lagenorhynchus,obliquidens,,12-Jun-84,USA,Washington,,200 m N Ocean Park*,North Pacific,,,,,,,"Ferrero, R.C.",,RCF 110,Dall's Porpoise Task,27-Nov-84,F,,185,,,,2,5,,Museum,,y,spec files,,200 m N. Ocean Park Beach access road.
NMML1139,Phocoenidae,Phocoenoides,dalli,dalli,29-Sep-83,USA,Washington,,,North Pacific,,,,,,,"Munson, M.J.",,MJM 001,Dall's Porpoise Task,27-Nov-84,M,,182,,,B,4,5,,Museum,,y,spec files,,
NMML1140,Phocoenidae,Phocoenoides,dalli,dalli,7-Jun-83,,,,,North Pacific,,,464500,N,1721200,E,"Ferrero, R.C.",,RCF 097,Dall's Porpoise Task,6-Nov-84,M,,199,,,,5,1,,Museum,,y,spec/photo files,,
NMML1141,Phocoenidae,Phocoenoides,dalli,dalli,15-Jul-82,,,,,North Pacific,,,500000,N,1741100,E,"Letourneau, M.W.",,MWL 023,Dall's Porpoise Task,6-Nov-84,M,,175,,,H,5,1,,Museum,,y,spec/photo files,,
NMML1142,Phocoenidae,Phocoenoides,dalli,dalli,27-Jun-85,,,,,North Pacific,,,512700,N,1683500,E,"Rowlett, R.A.",,RAR 307,Dall's Porpoise Task,30-Jul-87,M,,141,,,E *,5,1,,Museum,,y,spec/photo files,,"skeleton only, no skull"
NMML1143,Phocoenidae,Phocoena,phocoena,,26-Jul-84,USA,Washington,,,North Pacific,,,481000,N,1234200,W,"Ferrero, R.C.",,RCF 112,,30-Jul-87,F,,176,,,H,2,5,,Museum,,y,spec files,,"Also see Necropsy report, and marine mammal stranding report."
NMML1144,Phocoenidae,Phocoenoides,dalli,dalli,3-Jun-83,,,,,Pacific,,,474700,N,1725600,E,"DeGange, A.R.",,ARD 163,Dall's Porpoise Task,7-Nov-84,M,,184,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1145,Phocoenidae,Phocoenoides,dalli,dalli,20-Jun-79,,,,,North Pacific,,,502000,N,1743100,E,"Treacy, S.D.",,SDT 048,Dall's Porpoise Task,18-Mar-85,M,,102,,,G,5,1,,Museum,*,y,spec/photo files,,PERMANENT LOAN (NMML Loan Invoice #03)                                                                                                                         
NMML1146,Phocoenidae,Phocoenoides,dalli,,,,,,,,,,,,,,,,,Dall's Porpoise Task,18-Mar-85,U,,,,,H,,,,Museum,*,y,,,PERMANENT LOAN (NMML Loan Invoice #03)  Skeleton unlabeled.                                                            
NMML1147,Phocoenidae,Phocoenoides,dalli,dalli,7-Jun-82,,,,,North Pacific,,,481800,N,1723400,E,"DeGange, A.R.",,ARD 015,Dall's Porpoise Task,9-Apr-86,F,,191,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1148,Phocoenidae,Phocoenoides,dalli,dalli,23-Jun-82,,,,,North Pacific,,,533200,N,1722000,E,"Heyning, J.E.",,JEH 205,Dall's Porpoise Task,9-Apr-86,M,,209,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1149,Phocoenidae,Phocoena,phocoena,,22-Jul-81,,,,,North Pacific,,,515400,N,1743900,E,"Bertran, D.R.",,DRB 040,Dall's Porpoise Task,9-Apr-86,F,,151,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1150,Phocoenidae,Phocoenoides,dalli,dalli,,,,,South of FCZ,North Pacific,,,,,,,"Rowlett, R.A.",,RAR 044,Dall's Porpoise Task,22-Apr-86,F,,195,,,G,5,1,,Museum,,y,spec/photo files,,PERMANENT LOAN (NMML Loan Invoice #28) 
NMML1151,Phocoenidae,Phocoena,phocoena,,,USA,Washington,,W. Bainbridge Isl,,,,,,,,"Tsunoda, L.M.",,LMT 284,Dall's Porpoise Task,23-Apr-86,M,,156,,,,2,5,,Museum,,y,spec files,,
NMML1152,Phocoenidae,Phocoenoides,dalli,dalli,24-Sep-84,USA,Washington,,,Pacific,,Puget Sound,474900,N,1222800,W,"Ferrero, R.C.",,RCF 114,Dall's Porpoise Task,1-May-86,F,,166,,,B,5,1,,Museum,,y,spec/photo files,,
NMML1153,Phocoenidae,Phocoenoides,dalli,dalli,29-Jun-83,,,,,North Pacific,Bering Sea,,560500,N,1771400,W,"Harada, N.",,NH3 013,Dall's Porpoise Task,1-May-86,F,,183,,,G,5,1,,Museum,,y,spec/photo files,,
NMML1154,Phocidae,Lobodon,carcinophagus,,22-Nov-86,,,,,South Pacific,,Penola Strait,641500,S,651600,W,"Antonelis, G.A.","Rugh, D.",86-0169,,19-Feb-87,F,,,,,G,4,1,,Museum,,y,field note,,Lower left tooth extracted and aged.
NMML1155,Phocidae,Lobodon,carcinophagus,,22-Nov-86,,,,,South Pacific,,Penola Strait,641500,S,651600,W,"Antonelis, G.A.","Rugh, D.",86-0170,,19-Feb-87,F,,,,,G,4,1,,Museum,,y,field note,,Lower left tooth extracted and aged.
NMML1156,Phocidae,Lobodon,carcinophagus,,23-Nov-86,,,,,South Pacific,,French Passage,641600,S,651100,W,"Antonelis, G.A.","Rugh, D.",86-0189,,19-Feb-87,F,,,,,G,4,1,,Museum,,y,field note,,Lower left tooth extracted and aged.
NMML1157,Phocidae,Lobodon,carcinophagus,,22-Nov-86,,,,,South Pacific,,Penola Strait,641500,S,651600,W,"Antonelis, G.A.","Rugh, D.",86-0177,,19-Feb-87,M,,,,,K,4,1,,Museum,,y,field note,,Lower left tooth extracted and aged.
NMML1158,Phocidae,Lobodon,carcinophagus,,22-Nov-86,,,,,South Pacific,,French Passage,641600,S,651100,W,"Antonelis, G.A.","Rugh, D.",86-0178,,19-Feb-87,M,,,,,K,4,1,,Museum,,y,field note,,Lower left tooth extracted and aged.
NMML1159,Phocidae,Lobodon,carcinophagus,,22-Nov-86,,,,,South Pacific,,French Passage,641600,S,651100,W,"Antonelis, G.A.","Rugh, D.",86-0188,,19-Feb-87,M,,,,,F,4,1,,Museum,,y,field note,,Large growth on jaw.
NMML1160,Phocidae,Leptonychotes,weddelli,,22-Nov-86,,,,,South Pacific,,Penola Strait,641500,S,651600,W,"Antonelis, G.A.","Rugh, D.",86-0171,,19-Feb-87,M,,,,,K,4,1,,Museum,,y,field note,,"Missing right ocular bone, lower left tooth extracted and aged."
NMML1161,Phocidae,Leptonychotes,weddelli,,24-Nov-86,,,,,South Pacific,,French Passage,641600,S,651100,W,"Antonelis, G.A.","Rugh, D.",86-0212,,19-Feb-87,F,,,,,G,4,1,,Museum,,y,field note,,Lower left tooth extracted and aged.
NMML1162,Phocidae,Mirounga,angustirostris,,29-Apr-85,USA,,San Miguel Islands,Adams Cove,Pacific,,,340155,N,1202625,W,,,F034,,19-Feb-87,M,,,,,M,4,1,,Museum,,n,,,
NMML1163,Phocidae,Mirounga,angustirostris,,30-Apr-85,USA,,San Miguel Islands,Adams Cove,,,,340155,N,1202625,W,,,F044,,19-Feb-87,M,,,,,G,4,1,,Museum,,n,,,"Missing 2 teeth left upper, 1 tooth right upper, 1 tooth left mandible."
NMML1164,Phocidae,Mirounga,angustirostris,,30-Apr-85,USA,,San Miguel Islands,Adams Cove,Pacific,,,340155,N,1202625,W,,,F046,,19-Feb-87,F,,,,,G,4,1,,Museum,,n,,,
NMML1165,Phocidae,Mirounga,angustirostris,,24-Apr-85,USA,,San Miguel Islands,Adams Cove,Pacific,,,340155,N,1202625,W,,,A094,,19-Feb-87,F,,,,,G,4,1,,Museum,,n,,,"Missing 1 tooth left mandible, 1 tooth left upper."
NMML1166,Phocoenidae,Phocoenoides,dalli,dalli,25-Jun-83,,,,,North Pacific,Bering Sea,,553000,N,1733400,E,"Hamada, S.",,SH  321,Dall's Porpoise Task,24-Jul-87,M,,193,,,G,5,1,,Museum,,y,life history,,See also the Necropsy report.
NMML1167,Phocoenidae,Phocoenoides,dalli,truei,20-Jun-85,,,,,North Pacific,,,502100,N,1742800,E,"Jefferson, T.A.",,TAJ 020,Dall's Porpoise Task,24-Jul-87,F,,150,,,B,5,1,,Museum,,y,life history,,See Necropsy report.  Skeleton labeled and collected 30 JUL 1987.
NMML1168,Phocoenidae,Phocoenoides,dalli,dalli,3-Jun-83,,,,,North Pacific,,,465700,N,1731100,E,"Craig, L.A.",,LAC 007,Dall's Porpoise Task,24-Jul-87,M,,204,,,G,5,1,,Museum,,y,life history,,See Necropsy report and stranding form.
NMML1169,Phocoenidae,Phocoena,phocoena,,12-Jun-84,USA,Washington,,1.5 mi N Ocean Park*,North Pacific,,,463000,N,1240300,W,"Ferrero, R.C.",,RCF 109,Natl Marine Mam. Lab,24-Jul-87,M,,150,,,G,2,5,,Museum,,y,life history,,See Necropsy report and stranding form.  1.5 mi N. Ocean Park Beach.
NMML1170,Delphinidae,Lagenorhynchus,obliquidens,,12-Jun-84,USA,Washington,,200 m N Ocean Park*,Pacific,,,463000,N,1240300,W,"Ferrero, R.C.",,RCF 110,Natl Mar. Fish. Cent,24-Jul-87,F,,185,,,E,2,1,,Museum,,y,life history,,"See Necropsy report, stranding form, and updated stranding form.   200 mi N. Ocean Park Beach."
NMML1171,Phocoenidae,Phocoenoides,dalli,truei,21-Jul-85,,,,,North Pacific,,,492400,N,1730100,E,"Jefferson, T.A.",,TAJ 071,Dall's Porpoise Task,24-Jul-87,M,,152,,,,5,1,,Museum,,y,life history,,See Necropsy report.
NMML1172,Phocoenidae,Phocoenoides,dalli,dalli,25-Jun-82,,,,,North Pacific,,,533500,N,1705800,E,,,JEH 237,Dall's Porpoise Task,24-Jul-87,M,,171,,,,5,1,,Museum,,y,life history,,See Necropsy report.
NMML1173,Phocoenidae,Phocoenoides,dalli,dalli,3-Jun-83,,,,South of FCZ,North Pacific,,,464600,N,1745000,E,"Letourneau, M.W.",,MWL 099,Dall's Porpoise Task,24-Jul-87,F,,152,,,G,5,1,,Museum,,y,life history,,See Necropsy report.
NMML1174,Phocoenidae,Phocoenoides,dalli,dalli,8-Jun-83,,,,,North Pacific,,,471400,N,1715700,W,"Rowlett, R.A.",,RAR 112,Dall's Porpoise Task,24-Jul-87,F,,,,,G,5,1,,Museum,,y,life history,,
NMML1175,Phocoenidae,Phocoenoides,dalli,dalli,17-Jun-82,,,,,Pacific,,,435200,N,1795400,W,"Withrow, D.E.",,DEW 8202,Dall's Porpoise Task,24-Jul-87,M,,166,,,G,5,1,,Museum,,y,life history,,
NMML1176,Phocoenidae,Phocoenoides,dalli,dalli,8-Jul-85,,,,,North Pacific,,,522200,N,1704400,E,"Steslow, F.A.",,FAS 066,Dall's Porpoise Task,24-Jul-87,F,,148,,,B,5,1,,Museum,,y,life history,,See Necropsy report.  Remaining skeleton labeled 30 JUL 1987.
NMML1177,Phocoenidae,Phocoenoides,dalli,dalli,24-Jun-83,,,,,North Pacific,,,522200,N,1705800,W,"Kelt, D.A.",,DAK 052,Dall's Porpoise Task,24-Jul-87,M,,206,,,G,5,1,,Museum,,y,life history,,See Necropsy report.
NMML1178,Phocoenidae,Phocoenoides,dalli,dalli,22-Jun-83,,,,,North Pacific,Bering Sea,,540800,N,1710800,E,"Hamada, S.",DeGrange,SH  312,Dall's Porpoise Task,24-Jul-87,F,,183,,,G,5,1,,Museum,,y,life history,,See Necropsy report.
NMML1179,Phocoenidae,Phocoenoides,dalli,truei,2-Jul-85,,,,,North Pacific,,,511900,N,1695400,E,"Steslow, F.A.",,FAS 059,Dall's Porpoise Task,24-Jul-87,M,,198,,,G,5,1,,Museum,,y,life history,,See Necropsy report.
NMML1180,Phocoenidae,Phocoenoides,dalli,truei,27-Jun-85,,,,,North Pacific,,,510300,N,1712600,E,"Jefferson, T.A.",,TAJ 029,Dall's Porpoise Task,31-Jul-87,F,,179,,,H,5,1,,Museum,,y,life history,,See Necropsy report.
NMML1181,Otariidae,Arctocephalus,townsendi,,30-Jun-82,USA,California,Channel Islands,San Miguel Island*,North Pacific,,,,,,,"Antonelis, G.A.",,,,9-Jun-88,M,,,,,B,2,5,,Museum,,y,file,,"San Miguel Island, Bath Beach."
NMML1182,Otariidae,Zalophus,californianus,californianus,Aug-71,USA,California,Channel Islands,San Miguel Island*,North Pacific,,,,,,,"DeLong, R.L.",,RLD 428,,9-Jun-88,F,,,,,G,*,5,,Museum,,n,,,"Killed by Eumetopias male.  San Miguel Island, Cormorant Rock."
NMML1183,Otariidae,Zalophus,californianus,californianus,Aug-71,USA,California,Channel Islands,San Miguel Island*,North Pacific,,,,,,,"DeLong, R.L.",,RLD 429,,9-Jun-88,F,,,,,G,*,5,,Museum,,n,,,"Killed by Eumetopias male.  San Miguel Island, Cormorant Rock."
NMML1184,Otariidae,Zalophus,californianus,californianus,Aug-71,USA,California,Channel Islands,San Miguel Island,North Pacific,,,,,,,"DeLong, R.L.",,RLD 430,,9-Jun-88,F,,,,,G,*,5,,Museum,,n,,,Killed by Eumetopias male.
NMML1185,Otariidae,Zalophus,californianus,californianus,Aug-71,USA,California,Channel Islands,San Miguel Island,North Pacific,,,,,,,"DeLong, R.L.",,RLD 431,,9-Jun-88,F,,,,,G,*,5,,Museum,,n,,,Killed by Eumetopias male.
NMML1186,Otariidae,Zalophus,californianus,californianus,Aug-71,USA,California,Channel Islands,San Miguel Island*,North Pacific,,,,,,,"DeLong, R.L.",,RLD 432,,9-Jun-88,F,,,,,G,*,5,,Museum,,n,,,"Killed by Eumetopias male.  San Miguel Island, Cormorant Rock."
NMML1187,Otariidae,Zalophus,californianus,californianus,Aug-71,USA,California,Channel Islands,San Miguel Island*,North Pacific,,,,,,,"DeLong, R.L.",,RLD 433,,9-Jun-88,F,,,,,G,*,5,,Museum,,n,,,"Killed by Eumetopias male.  San Miguel Island, Cormorant Rock."
